read_code,term_description,description_type,status
XaEno,Insulin dependent diabetes mellitus with polyneuropathy,S,O
XaEno,Type 1 diabetes mellitus with polyneuropathy,S,O
XaEno,Type I diabetes mellitus with polyneuropathy,P,O
XaEnp,Non-insulin dependent diabetes mellitus with mononeuropathy,S,O
XaEnp,Type 2 diabetes mellitus with mononeuropathy,S,O
XaEnp,Type II diabetes mellitus with mononeuropathy,P,O
XaEnq,Non-insulin dependent diabetes mellitus with polyneuropathy,S,O
XaEnq,Type 2 diabetes mellitus with polyneuropathy,S,O
XaEnq,Type II diabetes mellitus with polyneuropathy,P,O
XaIeH,O/E - Right diabetic foot at low risk,P,O
XaIeI,O/E - Right diabetic foot at high risk,P,O
XaIeJ,O/E - Right diabetic foot - ulcerated,P,O
XaIeK,O/E - Left diabetic foot - ulcerated,P,O
XaIeL,O/E - Left diabetic foot at low risk,P,O
XaIeM,O/E - Left diabetic foot at high risk,P,O
XaIeR,O/E - Left diabetic foot at moderate risk,P,O
XaIeS,O/E - Right diabetic foot at moderate risk,P,O
XaKHh,O/E - right chronic diabetic foot ulcer,P,O
XaKHi,O/E - left chronic diabetic foot ulcer,P,O
XaPmW,Diabetic femoral mononeuropathy,P,C
XaPmX,Diabetic amyotrophy,P,C
XaX6J,O/E - Right diabetic foot at increased risk,P,O
XaX6K,O/E - Left diabetic foot at increased risk,P,O
XaXbW,Symptomatic diabetic peripheral neuropathy,P,C
XE12I,Diabetes + neuropathy,S,E
XE12I,Diabetes + neuropathy (& [amyotrophy]),P,E
XE12I,Diabetic amyotrophy,S,E
XE12I,Diabetic neuropathy,S,E
XE12I,Neuropathy - diabetic,S,E
XE15k,Diabetes mellitus with polyneuropathy,S,C
XE15k,Diabetic polyneuropathy,P,C
XE15k,Polyneuropathy in diabetes,S,C
