ICD10	Term
E09.3492	…... left eye
E09.3493	…... bilateral
E09.3499	…... unspecified eye
E09.35	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy
E09.351	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
E09.3511	…... right eye
E09.3512	…... left eye
E09.3513	…... bilateral
E09.3519	…... unspecified eye
E09.352	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E09.3521	…... right eye
E09.3522	…... left eye
E09.3523	…... bilateral
E09.3529	…... unspecified eye
E09.353	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E09.3531	…... right eye
E09.3532	…... left eye
E09.3533	…... bilateral
E09.3539	…... unspecified eye
E09.354	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E09.3541	…... right eye
E09.3542	…... left eye
E09.3543	…... bilateral
E09.3549	…... unspecified eye
E09.355	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy
E09.3551	…... right eye
E09.3552	…... left eye
E09.3553	…... bilateral
E09.3559	…... unspecified eye
E09.359	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
E09.3591	…... right eye
E09.3592	…... left eye
E09.3593	…... bilateral
E09.3599	…... unspecified eye
E10.34	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy
E10.341	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
E10.3411	…... right eye
E10.3412	…... left eye
E10.3413	…... bilateral
E10.3419	…... unspecified eye
E10.349	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
E10.3491	…... right eye
E10.3492	…... left eye
E10.3493	…... bilateral
E10.3499	…... unspecified eye
E10.35	Type 1 diabetes mellitus with proliferative diabetic retinopathy
E10.351	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
E10.3511	…... right eye
E10.3512	…... left eye
E10.3513	…... bilateral
E10.3519	…... unspecified eye
E10.352	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E10.3521	…... right eye
E10.3522	…... left eye
E10.3523	…... bilateral
E10.3529	…... unspecified eye
E10.353	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E10.3531	…... right eye
E10.3532	…... left eye
E10.3533	…... bilateral
E10.3539	…... unspecified eye
E10.354	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E10.3541	…... right eye
E10.3542	…... left eye
E10.3543	…... bilateral
E10.3549	…... unspecified eye
E10.355	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy
E10.3551	…... right eye
E10.3552	…... left eye
E10.3553	…... bilateral
E10.3559	…... unspecified eye
E10.359	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
E10.3591	…... right eye
E10.3592	…... left eye
E10.3593	…... bilateral
E10.3599	…... unspecified eye
E11.34	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy
E11.341	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
E11.3411	…... right eye
E11.3412	…... left eye
E11.3413	…... bilateral
E11.3419	…... unspecified eye
E11.349	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
E11.3491	…... right eye
E11.3492	…... left eye
E11.3493	…... bilateral
E11.3499	…... unspecified eye
E11.35	Type 2 diabetes mellitus with proliferative diabetic retinopathy
E11.351	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema
E11.3511	…... right eye
E11.3512	…... left eye
E11.3513	…... bilateral
E11.3519	…... unspecified eye
E11.352	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E11.3521	…... right eye
E11.3522	…... left eye
E11.3523	…... bilateral
E11.3529	…... unspecified eye
E11.353	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E11.3531	…... right eye
E11.3532	…... left eye
E11.3533	…... bilateral
E11.3539	…... unspecified eye
E11.354	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E11.3541	…... right eye
E11.3542	…... left eye
E11.3543	…... bilateral
E11.3549	…... unspecified eye
E11.355	Type 2 diabetes mellitus with stable proliferative diabetic retinopathy
E11.3551	…... right eye
E11.3552	…... left eye
E11.3553	…... bilateral
E11.3559	…... unspecified eye
E11.359	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
E11.3591	…... right eye
E11.3592	…... left eye
E11.3593	…... bilateral
E11.3599	…... unspecified eye
E13.34	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy
E13.341	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
E13.3411	…... right eye
E13.3412	…... left eye
E13.3413	…... bilateral
E13.3419	…... unspecified eye
E13.349	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
E13.3491	…... right eye
E13.3492	…... left eye
E13.3493	…... bilateral
E13.3499	…... unspecified eye
E13.35	Other specified diabetes mellitus with proliferative diabetic retinopathy
E13.351	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema
E13.3511	…... right eye
E13.3512	…... left eye
E13.3513	…... bilateral
E13.3519	…... unspecified eye
E13.352	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E13.3521	…... right eye
E13.3522	…... left eye
E13.3523	…... bilateral
E13.3529	…... unspecified eye
E13.353	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E13.3531	…... right eye
E13.3532	…... left eye
E13.3533	…... bilateral
E13.3539	…... unspecified eye
E13.354	Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E13.3541	…... right eye
E13.3542	…... left eye
E13.3543	…... bilateral
E13.3549	…... unspecified eye
E13.355	Other specified diabetes mellitus with stable proliferative diabetic retinopathy
E13.3551	…... right eye
E13.3552	…... left eye
E13.3553	…... bilateral
E13.3559	…... unspecified eye
E13.359	Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema
E13.3591	…... right eye
E13.3592	…... left eye
E13.3593	…... bilateral
E13.3599	…... unspecified eye
