SnomedCTConceptId,Description
735538002,Lactic acidosis co-occurrent and due to diabetes mellitus (disorder)
735539005,Metabolic acidosis co-occurrent and due to diabetes mellitus (disorder)
737212004,Diabetes mellitus caused by chemical (disorder)
739681000,Disorder of eye co-occurrent and due to type 1 diabetes mellitus (disorder)
75682002,Diabetes mellitus caused by insulin receptor antibodies (disorder)
768792007,Cataract of right eye co-occurrent and due to diabetes mellitus (disorder)
768793002,Cataract of left eye co-occurrent and due to diabetes mellitus (disorder)
768794008,Cataract of bilateral eyes co-occurrent and due to diabetes mellitus (disorder)
82581000119105,Rubeosis iridis co-occurrent and due to type 1 diabetes mellitus (disorder)
8801005,Secondary diabetes mellitus (disorder)
